Date,Confirmed,Deaths
3/9/20,1176,2
3/10/20,1457,2
3/11/20,1908,3
3/12/20,2078,3
3/13/20,3675,7
3/14/20,4585,9
3/15/20,5795,11
3/16/20,7272,17
3/17/20,9257,24
3/18/20,12327,28
3/19/20,15320,44
3/20/20,19848,67
3/21/20,22213,84
3/22/20,24873,94
3/23/20,29056,123
3/24/20,32986,157
3/25/20,37323,206
3/26/20,43938,267
3/27/20,50871,342
3/28/20,57695,433
3/29/20,62095,533
3/30/20,66885,645
3/31/20,71808,775
4/1/20,77872,920
4/2/20,84794,1107
4/3/20,91159,1275
4/4/20,96092,1444
4/5/20,100123,1584
4/6/20,103374,1810
4/7/20,107663,2016
4/8/20,113296,2349
4/9/20,118181,2607
4/10/20,122171,2767
4/11/20,124908,2736
4/12/20,127854,3022
4/13/20,130072,3194
4/14/20,131359,3294
4/15/20,134753,3804
4/16/20,137698,4052
4/17/20,141397,4352
4/18/20,143342,4459
4/19/20,145184,4586
4/20/20,147065,4862
4/21/20,148291,5033
4/22/20,150648,5279
4/23/20,153129,5575
4/24/20,154999,5760
4/25/20,156513,5877
4/26/20,157770,5976
4/27/20,158758,6126
4/28/20,159912,6314
4/29/20,161539,6467
4/30/20,163009,6623
5/1/20,164077,6736
5/2/20,164967,6812
5/3/20,165664,6866
5/4/20,166152,6993
5/5/20,167007,6993
5/6/20,168162,7275
5/7/20,169430,7392
5/8/20,170588,7510
5/9/20,171324,7549
5/10/20,171879,7569
5/11/20,172576,7661
5/12/20,173171,7738
5/13/20,174098,7861
5/14/20,174478,7884
5/15/20,175233,7897
5/16/20,175752,7938
5/17/20,176369,7962
5/18/20,176551,8003
5/19/20,177778,8081
5/20/20,178473,8144
5/21/20,179021,8203
5/22/20,179710,8228
5/23/20,179986,8261
5/24/20,180328,8283
5/25/20,180600,8309
5/26/20,181200,8372
5/27/20,181524,8428
5/28/20,182196,8470
5/29/20,182922,8504
5/30/20,183189,8530
5/31/20,183410,8540
6/1/20,183594,8555
6/2/20,183879,8563
6/3/20,184121,8602
6/4/20,184472,8635
6/5/20,184924,8658
6/6/20,185450,8673
6/7/20,185750,8685
6/8/20,186109,8695
6/9/20,186506,8736
6/10/20,186522,8752
6/11/20,186691,8772
